(c) Die Bundeswahlleiterin, Wiesbaden 2025;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);
;
Bundestagswahl 2025;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
026;Friesland – Wilhelmshaven – Wittmund;03;Sozialdemokratische Partei Deutschlands;185863;189047;185863;189047;150781;134164;150781;134164;1152;1188;877;1234;149629;132976;149904;132930;52913;60392;38211;50448;40089;29286;39618;28535;8630;13504;12572;17020;3974;9502;5961;13874;29525;10227;30278;10951;;;;;8246;3460;10896;4122;2534;2611;1232;1512;;;2283;2201;1189;1275;550;1155;1508;2651;827;1539;;;;298;;;235;419;1021;;756;266;;;;62;;;;;;;;;;;114;115;;;;;;;;;;68;51;50;;;;;;;;;;;;;;;;;;;199;;;;6121;;;;;;;;;;;0;;363;
027;Oldenburg – Ammerland;03;Sozialdemokratische Partei Deutschlands;229344;228705;229344;228705;194106;173725;194106;173725;1390;1397;925;1175;192716;172328;193181;172550;66280;65757;46024;55231;46173;34294;46074;32100;28728;35119;31857;40919;5996;12859;8555;17674;25045;8572;24919;8903;;;;;15673;10183;21699;8344;2071;1416;945;1041;;;2027;2009;;1907;337;1729;;;966;1481;;;;428;;1524;269;795;2750;;1722;1006;;471;;247;;;;;;;;;;;173;176;;;;;;;;;;89;55;29;;;;;;;;;;;;;;;;;;;200;;;;7359;;;;;;;;;;;137;;438;
028;Delmenhorst – Wesermarsch – Oldenburg-Land;03;Christlich Demokratische Union Deutschlands;225013;226827;225013;226827;185081;163753;185081;163753;1543;1781;1000;1595;183538;161972;184081;162158;48627;59377;43835;55621;53760;40410;48101;36649;18021;21202;18435;23973;10206;17278;9047;18571;35329;11999;35955;12987;;;;;12645;4931;13613;5046;3925;2165;1917;1555;;;2395;2310;;1905;402;1698;;2600;862;1545;;;;590;;;289;598;;;1062;347;;;;87;;;;;;;;;;;130;134;;;;;;;;;;;30;23;;;;;;;;;;;;;;;;;1025;;378;;;;7630;;;;;;;;;;;105;;424;
029;Cuxhaven – Stade II;03;Christlich Demokratische Union Deutschlands;187076;188602;187076;188602;155176;140739;155176;140739;1143;1067;788;1023;154033;139672;154388;139716;46915;51417;37040;48858;50395;42085;45964;36586;11030;15389;13656;17553;4166;9622;5823;14052;30472;10227;30933;11000;;;;;7968;2694;9280;3672;3087;2102;1232;1535;;2954;2095;2405;;1416;530;1418;;1766;635;1145;;;;231;;;225;433;;;967;225;;;;87;;;;;;;;;;;65;90;;;;;;;;;;;24;16;;;;;;;;;;;;;;;;;;;190;;;;5729;;;;;;;;;;;0;;410;
030;Stade I – Rotenburg II;03;Christlich Demokratische Union Deutschlands;197850;198576;197850;198576;167119;151821;167119;151821;1217;1188;777;935;165902;150633;166342;150886;42393;47763;36582;48301;60301;52069;51046;39969;16205;19923;18203;22091;4663;12019;6693;16720;29890;10735;30498;11002;;;;;10350;4340;11789;4301;;;1111;1620;;;1765;1881;;2029;449;1485;;;816;1388;;;;373;;1755;287;691;2100;;1238;378;;;;118;;;;;;;;;;;113;119;;;;;;;;;;;27;17;;;;;;;;;;;;;;;;;;;218;;;;5507;;;;;;;;;;;0;;432;
031;Mittelems;03;Christlich Demokratische Union Deutschlands;233784;233253;233784;233253;199529;180543;199529;180543;1210;1330;915;1104;198319;179213;198614;179439;48525;52309;42166;55461;86795;72523;78008;60733;14462;22562;17256;22515;6904;17466;8921;21101;27994;8993;28483;9235;;;;;10171;3996;12609;3969;2833;;1267;723;;;1618;1592;;1364;336;1070;;;764;1521;;;;291;;;222;423;;;729;243;;;;97;;;;;;;;;;;103;132;;;;;;;;;;;28;17;;;;;;;;;;;;;;;;;635;;287;;;;5817;;;;;;;;;;;0;;316;
032;Cloppenburg – Vechta;03;Christlich Demokratische Union Deutschlands;225099;223948;225099;223948;187174;164507;187174;164507;1198;1321;997;1155;185976;163186;186177;163352;32515;33825;29053;40212;85241;80134;73616;62837;11280;17366;13277;18093;6135;14397;8432;19747;38366;12674;38357;12772;;;;;9485;3542;11518;3549;2954;;1703;792;;;1533;1579;;1248;366;1088;;;638;1093;;;;268;;;256;474;;;851;323;;;;80;;;;;;;;;;;104;104;;;;;;;;;;;22;12;;;;;;;;;;;;;;;;;;;231;;;;6220;;;;;;;;;;;0;;329;
033;Diepholz – Nienburg I;03;Christlich Demokratische Union Deutschlands;194010;194371;194010;194371;162072;146954;162072;146954;1113;1460;755;982;160959;145494;161317;145972;44311;46455;36820;48196;56910;49116;49080;36915;13005;19702;16558;21139;5318;13671;7376;17628;27353;9683;28346;10372;;;;;9613;4029;10982;3920;4449;;1943;1322;;;1807;1774;;2111;414;1722;;;694;1294;;;;395;;;234;465;;;807;228;;;;113;;;;;;;;;;;95;118;;;;;;;;;;;29;21;;;;;;;;;;;;;;;;;;;212;;;;5920;;;;;;;;;;;727;;350;
034;Osterholz – Verden;03;Christlich Demokratische Union Deutschlands;196082;197490;196082;197490;166157;151308;166157;151308;1094;1927;762;1089;165063;149381;165395;150219;40963;48574;38009;49430;59321;50274;46321;36183;18449;21933;20450;24183;4952;13764;6942;15653;28052;;29180;11329;;;;;11071;6375;12060;5253;;4578;953;1494;;;2005;1986;;3883;434;1661;;;699;1134;;;;440;;;248;443;2255;;1176;343;;;;105;;;;;;;;;;;114;131;;;;;;;;;;;37;34;;;;;;;;;;;;;;;;;;;236;;;;6531;;;;;;;;;;;0;;417;
035;Rotenburg I – Heidekreis;03;Sozialdemokratische Partei Deutschlands;168109;168927;168109;168927;139393;125100;139393;125100;1141;934;803;896;138252;124166;138590;124204;58184;59131;34349;43196;37770;32720;38933;31119;7411;10035;12795;16857;3261;7354;5118;12526;26667;9182;27466;9945;;;;;;3010;9777;3536;2923;2734;1329;1433;;;1695;1754;;;295;1192;;;591;1057;;;;180;;;203;444;2036;;998;341;;;;107;;;;;;;;;;;89;94;;;;;;;;;;;20;14;;;;;;;;;;;;;;;;;;;169;;;;4763;;;;;;;;;;;0;;409;
036;Harburg;03;Christlich Demokratische Union Deutschlands;202671;201740;202671;201740;175134;161635;175134;161635;1176;1122;705;893;173958;160513;174429;160742;45742;49773;35733;46765;57718;46711;53029;39850;18423;24120;22502;26777;6047;14395;8478;20426;28906;11007;29324;11671;;;;;10309;4230;12298;4682;3142;3515;1602;2404;;3561;1991;2360;;2850;491;2452;;;704;1193;;;;433;;;258;568;2625;;1461;347;;;;141;;;;;;;;;;;105;130;;;;;;;;;;;31;23;;;;;;;;;;;;;;;;;;;189;;;;6233;;;;;;;;;;1046;351;;520;
037;Lüchow-Dannenberg – Lüneburg;03;Sozialdemokratische Partei Deutschlands;182679;182673;182679;182673;154831;139183;154831;139183;944;1546;676;1077;153887;137637;154155;138106;42817;38784;32399;41262;40541;34287;37097;29032;25243;34606;25602;30585;3894;9513;5627;13241;23895;8603;25017;9145;;;;;10925;5378;15934;6328;3710;1561;1880;1161;;;1766;1681;1524;2542;565;2399;;2187;802;1489;;;;189;;;258;453;1338;;977;368;;;;147;;;;;;;;;;;88;119;;;;;;;;;;;35;25;;;;;;;;;;;;;;;;;;;146;;;;5962;;;;;;;;;;;176;;482;
038;Osnabrück-Land;03;Christlich Demokratische Union Deutschlands;199480;199960;199480;199960;167741;151837;167741;151837;1132;1251;844;1379;166609;150586;166897;150458;40394;44709;37108;48352;60954;54535;53514;42864;16759;22011;16444;22160;4914;13006;7189;16653;29983;9418;30206;10069;;;;;9516;3596;10900;3870;2850;1262;1477;824;;;1509;1397;;2049;481;1760;;;630;1090;;;;300;;;247;403;1239;;702;207;;;;88;;;;;;;;;;;99;89;;;;;;;;;;;35;12;;;;;;;;;;;;;;;;;;;195;;;;6161;;;;;;;;;;;0;;320;
039;Stadt Osnabrück;03;Christlich Demokratische Union Deutschlands;192267;195467;192267;195467;161536;149541;161536;149541;1020;1335;664;1031;160516;148206;160872;148510;45260;44876;39356;44919;47728;43316;42265;34462;21953;34140;25670;34546;4178;10090;6650;14627;18264;6695;18544;6903;;;;;18862;6977;17804;6224;1841;;846;543;;;1325;1284;;1918;426;1482;;;693;1341;;;;598;;;223;437;1962;;1259;543;;;;125;;;;;;;;;;;108;153;;;;;;;;;;;51;11;;;;;;;;;;;;;;;;;;;141;;;;5511;;;;;;;;;;468;194;;312;
040;Nienburg II – Schaumburg;03;Sozialdemokratische Partei Deutschlands;191028;193863;191028;193863;157507;142895;157507;142895;1100;1248;823;1103;156407;141647;156684;141792;49658;50017;38093;49553;44786;43817;42907;33968;11724;18094;15550;19968;4383;8804;5936;14213;31459;11695;32249;12434;;;;;8669;3070;10235;3842;2634;1746;1584;1335;;2800;1985;2078;;1382;318;1457;1656;;763;1211;;;;352;;;247;552;1015;;723;250;;;;72;;;;;;;;;;;131;108;;;;;;;;;;;30;16;;;;;;;;;;;;;;;;;;;205;;;;5728;;;;;;;;;;423;222;;383;
041;Stadt Hannover I;03;Sozialdemokratische Partei Deutschlands;175419;176770;175419;176770;143759;128894;143759;128894;1063;1217;803;1308;142696;127677;142956;127586;48668;44538;33839;39511;32818;27303;30595;23410;22397;27851;25754;30360;3994;9550;6177;13282;18719;7549;18414;7677;;;;;12063;4662;17019;5768;1077;847;529;691;;1528;1417;1400;;1265;249;1192;;1586;659;1161;;;;1073;728;746;326;681;1908;;1202;674;;138;;103;;;;;;;;;;;125;180;;;;;;;;;324;114;82;55;;;;;;;;;;;;;;;;;;;147;;;;6422;;;;;;;;;;;0;;368;
042;Stadt Hannover II;03;Sozialdemokratische Partei Deutschlands;189782;190336;189782;190336;159052;143712;159052;143712;987;1184;782;1262;158065;142528;158270;142450;57216;46929;34913;40116;28168;26196;29685;22537;30166;37779;33650;41976;3769;9538;6136;13288;16190;6476;16411;6753;;;;;17908;7390;26100;8831;863;875;529;698;;1937;1446;1479;;1568;220;1440;1516;2428;859;1705;;;;1070;491;979;345;769;1529;;1460;931;;;;122;;;;;;;;;;287;140;199;;;;;;;;;249;146;82;70;;;;;;;;;;;;;;;;;;;149;;;;6145;;;;;;;;;;;0;;466;
043;Hannover-Land I;03;Christlich Demokratische Union Deutschlands;227327;231250;227327;231250;192227;174581;192227;174581;1263;1464;984;1879;190964;173117;191243;172702;52312;58297;43417;55464;66483;55185;56900;44529;18119;22490;21753;26219;5101;12557;8729;19550;33139;12942;33247;13295;;;;;10430;3981;13208;4504;2523;;1275;1077;;3080;2330;2637;;1727;417;1564;;1662;723;1355;;;;802;;988;301;692;1854;;986;328;;;;113;;;;;;;;;;;117;141;;;;;;;;;;;50;36;;;;;;;;;;;;;;;;;1003;;340;;;;7450;;;;;;;;;;;208;;396;
044;Celle – Uelzen;03;Christlich Demokratische Union Deutschlands;212344;214482;212344;214482;174910;158022;174910;158022;1288;1388;970;1192;173622;156634;173940;156830;40060;50635;36321;48332;61114;51504;51631;40993;16097;18773;17787;21882;5920;13412;7504;17990;34961;14498;35375;14423;;;;;10277;4357;12190;4680;3441;3399;1691;1578;;;2263;2169;;;497;1592;;;804;1454;;;;225;;;282;566;1752;;964;266;;;;128;;;;;;;;;;;101;99;;;;;;;;;;;28;16;;;;;;;;;;;;;;;;;;;221;;;;6281;;;;;;;;;;;56;;437;
045;Gifhorn – Peine;03;Sozialdemokratische Partei Deutschlands;216949;219966;216949;219966;183844;166592;183844;166592;1228;1568;949;1762;182616;165024;182895;164830;61985;72113;43689;58846;50970;40279;50192;37839;11760;15762;17417;21960;4714;10738;6809;16238;38892;15346;38988;16048;;;;;9063;3619;11869;4147;2663;2084;1399;1627;;2820;2313;2256;;2016;554;1942;;;804;1429;;;;582;;;286;642;1656;;1045;415;;;;184;;;;;;;;;;;141;133;;;;;;;;;;;43;28;;;;;;;;;;;;;;;;;913;;360;;;;6986;;;;;;;;;;;247;;514;
046;Hameln-Pyrmont – Holzminden;03;Sozialdemokratische Partei Deutschlands;178761;184471;178761;184471;144827;132893;144827;132893;1213;1345;886;1284;143614;131548;143941;131609;47384;56893;35445;48438;41013;33575;38855;29809;10269;13259;13527;17274;4623;9102;5667;13624;29980;11208;30515;11590;;;;;7728;3676;9575;3734;2617;1979;1052;1122;;;1820;1845;;1856;400;1546;;;559;963;;;;416;;;219;463;;;614;211;;;;72;;;;;;;;;;;85;113;;;;;;;;;;;27;10;;;;;;;;;;;;;;;;;;;173;;;;5408;;;;;;;;;;;0;;379;
047;Hannover-Land II;03;Sozialdemokratische Partei Deutschlands;234055;238323;234055;238323;197760;181202;197760;181202;1288;1654;1079;2110;196472;179548;196681;179092;62395;73088;47478;62024;59006;45721;53994;40612;17550;22283;23995;29201;4924;11883;7840;18320;33775;13377;34337;13850;;;;;10882;4095;14602;4994;2208;1978;1386;1672;3346;2618;2426;2535;;1635;414;1650;;1701;770;1432;;;;752;933;1119;448;867;1453;;1032;421;;;;113;;;;;;;;;;;158;158;;;;;;;;;;;49;35;;;;;;;;;;;;;;;;;;;205;;;;7547;;;;;;;;;;;50;;456;
048;Hildesheim;03;Sozialdemokratische Partei Deutschlands;211156;215131;211156;215131;176681;161685;176681;161685;1305;1676;920;1907;175376;160009;175761;159778;53925;61857;42610;55439;51421;41230;47275;36504;16511;22973;20303;26565;4369;11507;6535;15397;31963;11387;31741;12161;;;;;12021;5481;14749;5308;2120;1420;991;1054;;;2245;2030;;2153;399;1628;;;812;1432;;;;416;;1506;257;793;1416;;898;309;;264;;143;;;;;;;;;;;100;99;;;;;;;;;;;33;32;;;;;;;;;;;;;;;;;;;233;;;;6580;;;;;;;;;;1630;231;;468;
049;Salzgitter – Wolfenbüttel;03;Sozialdemokratische Partei Deutschlands;195218;200922;195218;200922;159604;147218;159604;147218;1324;1794;1007;1496;158280;145424;158597;145722;48410;56157;38650;53411;44807;39541;42085;33453;10910;15353;13824;18105;3934;9544;5619;13463;33787;14331;33836;14415;;;;;11139;5675;12357;4478;2291;1651;1129;1317;;;2024;2156;1406;1599;539;1362;;;732;1274;;;;743;;1220;267;598;1596;;816;260;;;;86;;;;;;;;;;;105;94;;;;;;;;;;;31;23;;;;;;;;;;;;;;;;;;;179;;;;6404;;;;;;;;;;;353;;484;
050;Braunschweig;03;Sozialdemokratische Partei Deutschlands;186356;187721;186356;187721;155379;140807;155379;140807;1116;1254;824;1513;154263;139553;154555;139294;51551;51220;34992;42377;38156;31276;34956;25929;21983;28214;27788;33401;4461;9816;6142;14046;20471;8045;20622;8238;;;;;12660;5352;17979;6355;1668;1194;799;844;;;1661;1567;;1640;375;1444;;;869;1652;;;;675;;;287;785;2447;;1729;1012;;352;;180;;;;;;;;;;;145;189;;;;;;;;;251;101;87;52;;;;;;;;;;;;;;;;;;;158;;;;5966;;;;;;;;;;615;2343;;548;
051;Helmstedt – Wolfsburg;03;Christlich Demokratische Union Deutschlands;176276;180147;176276;180147;141889;130671;141889;130671;1246;1623;837;1467;140643;129048;141052;129204;40099;54349;32716;45414;43511;34367;39109;31827;9630;11305;11878;15481;4539;9766;5335;13073;31351;12339;30969;12241;;;;;8687;3575;9406;3496;;2113;739;1128;;;1908;1749;;;436;1520;;;684;1192;;;;381;;;286;529;1831;;911;362;;486;;204;;;;;;;;;;;97;118;;;;;;;;;214;;57;26;;;;;;;;;;;;;;;;;;;181;;;;6340;;;;;;;;;;781;748;;463;
052;Goslar – Northeim – Göttingen II;03;Sozialdemokratische Partei Deutschlands;191425;197519;191425;197519;155583;143611;155583;143611;1421;1544;971;1296;154162;142067;154612;142315;46873;52129;38452;53876;46699;47196;43211;33614;11922;14954;13463;17118;3999;8827;6116;14239;30491;11240;30927;11819;;;;;9186;3835;10715;4251;2557;2031;1171;1228;;;1945;1840;;1797;358;1505;;;723;1184;;;;325;;;245;439;1684;;882;249;;;;84;;;;;;;;;;;100;118;;;;;;;;;;;24;23;;;;;;;;;;;;;;;;;751;;246;;;;6034;;;;;;;;;;;58;;403;
053;Göttingen I;03;Christlich Demokratische Union Deutschlands;210201;214542;210201;214542;175544;161876;175544;161876;1341;2399;917;1571;174203;159477;174627;160305;44620;51385;38345;51180;50738;42958;44788;34588;26770;37060;27390;32448;6320;15261;6911;15638;24752;;25266;9785;;;;;15937;8057;19429;8132;2217;;1126;1259;;;1864;1713;;3428;300;1570;;;756;1625;;;;379;;;262;569;2557;;1199;512;;;;136;;;;;;;;;;;127;164;;;;;;;;;292;232;84;46;;;;;;;;;;;;;;;;;;;179;;;;6601;;;;;;;;;;;1096;;561;
03;Niedersachsen;99;;6042951;6105381;6042951;6105381;5038396;4563142;5038396;4563142;36386;44570;26331;39921;5002010;4518572;5012065;4523221;1468848;1603785;1152824;1498500;1557228;1323070;1409499;1093579;486936;646848;576371;726613;148204;347802;205037;474638;880831;292032;894057;336434;;;;;321268;142785;405229;148657;68430;47466;37581;37214;7649;25460;58072;57931;4119;52585;12480;46369;4680;16581;22343;40158;;;;13565;2152;9837;8032;16955;40024;;30437;11897;;1711;;3484;;;;;;;;;;287;3346;3806;;;;;;;;;1330;750;1243;808;;;;;;;;;;;;;;;;;4327;;6368;;;;189146;;;;;;;;;;5984;7573;;12613;
;
054;Bremen I;04;–;239823;245384;239823;245384;194782;186308;194782;186308;1651;1337;983;1071;193131;184971;193799;185237;48670;55934;42455;53425;46317;39440;41196;32375;36566;39721;35822;44414;5590;13929;7417;18396;22752;9099;22792;9835;;;;;25807;15306;30834;15739;;1853;598;1473;;2440;;2145;;2237;;2008;2226;2835;1341;1977;;;;1455;;;;;3402;1182;2194;843;;322;;212;;;;;;;148;;;526;;325;;;;;;;;;282;147;82;84;;;305;181;;;;;;;;;;;;;800;;483;;;;7973;;;;159;;;;;;719;0;;350;
055;Bremen II – Bremerhaven;04;Sozialdemokratische Partei Deutschlands;210686;214365;210686;214365;155596;144123;155596;144123;1661;2037;1137;1320;153935;142086;154459;142803;46600;52498;38145;49799;32356;28552;30371;24124;16716;20769;18466;24013;4069;8469;4877;12085;29888;12466;29702;12740;;;;;18588;10617;20627;9613;1758;1799;1031;1438;;;;2372;;1770;;1453;;2629;1241;1932;;;;1559;;908;;;2339;;1636;479;;391;;195;;;;;;;156;;;490;;264;;;;;;;;;454;119;125;76;;;389;205;;;;;;;;;;;;;1167;;490;;;;7104;;;;99;;;;;;;609;;456;
04;Bremen;99;;450509;459749;450509;459749;350378;330431;350378;330431;3312;3374;2120;2391;347066;327057;348258;328040;95270;108432;80600;103224;78673;67992;71567;56499;53282;60490;54288;68427;9659;22398;12294;30481;52640;21565;52494;22575;;;;;44395;25923;51461;25352;1758;3652;1629;2911;;2440;;4517;;4007;;3461;2226;5464;2582;3909;;;;3014;;908;;;5741;1182;3830;1322;;713;;407;;;;;;;304;;;1016;;589;;;;;;;;;736;266;207;160;;;694;386;;;;;;;;;;;;;1967;;973;;;;15077;;;;258;;;;;;719;609;;806;
;
056;Prignitz – Ostprignitz-Ruppin – Havelland I;12;Alternative für Deutschland;169648;172726;169648;172726;133067;122512;133067;122512;1431;1675;1046;1504;131636;120837;132021;121008;29264;39853;20999;41163;25861;23433;22920;19414;4025;5623;5782;7677;2847;7355;3355;9070;51212;23799;48277;23221;;;;;13866;10845;12905;9754;4561;4549;1914;3060;;;;2557;;1771;;1580;;2180;913;1373;;;;151;;636;;479;;;518;194;;;;111;;;;;;;;;;;;112;;;;;;;;;;;74;86;;;;;;;;;;;;;;;;;;;291;;;;14073;;;;;;;;;;;793;;1006;
057;Uckermark – Barnim I;12;Alternative für Deutschland;180127;182836;180127;182836;142112;130965;142112;130965;1533;1815;1024;1719;140579;129150;141088;129246;27211;38247;19508;40543;25661;22991;22700;19818;5460;7528;6833;9095;3323;10964;3745;10422;53908;26163;50763;25748;;;;;17200;12316;15480;11617;5175;3811;2209;3131;;;;2830;;2090;;1911;2641;2071;1302;1517;;;;241;;786;;516;;;695;196;;412;;233;;;;;;;;;;;;131;;;;;;;;;;;83;60;;;;;;;;;;;;;;;;;;;274;;;;17496;;;;;;;;;;;1771;;1237;
058;Oberhavel – Havelland II;12;–;251732;249331;251732;249331;211112;195208;211112;195208;1820;2470;1290;2120;209292;192738;209822;193088;41822;50697;32266;55193;51984;39996;45580;33377;13889;19026;17620;20663;6039;17322;7579;19802;64556;30863;61545;30793;;;;;19831;15501;19602;12665;6804;8282;2967;5142;;;;6154;;3502;;2732;4367;4330;2316;2360;;;;472;;2267;;1076;;;1444;504;;952;;373;;;;;;;;;;;;244;;;;;;;;;;;138;77;;;;;;;;;;;;;;;;;;;406;;;;18359;;;;;;;;;;;0;;1461;
059;Märkisch-Oderland – Barnim II;12;Alternative für Deutschland;231597;230391;231597;230391;193032;177065;193032;177065;1917;2856;1210;2567;191115;174209;191822;174498;35785;43117;25134;48712;34597;40804;32399;26254;7625;11742;11132;13954;4693;12270;5552;14939;69016;31929;64893;31820;;;;;25444;21700;21638;18004;6648;;3329;6101;;;;5360;;3750;;2865;3048;4425;1842;2393;;;;378;;;;695;2065;;1466;500;;737;;345;;;;;;;;;;;;232;;;;;;;;;;;135;78;;;;;;;;;;;;;;;;;2194;;717;;;;23585;;;;;;;;;;;3735;;1868;
060;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;12;Alternative für Deutschland;201899;202955;201899;202955;161158;147618;161158;147618;1821;2239;1259;2039;159337;145379;159899;145579;41053;46642;27515;48423;30943;29236;29337;22274;5957;9474;9603;12211;3718;9266;4627;11934;53605;23931;50225;23845;;;;;17348;12672;17229;12019;4795;5521;2320;3853;;;;3599;;2305;;2173;;2525;1224;1716;;;;290;;840;;626;1918;;1122;419;;401;;270;;;;;;;;;;;;184;;;;;;;;;;;102;82;;;;;;;;;;;;;;;;;;;351;;;;16244;;;;;;;;;;;2566;;1661;
061;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;12;Sozialdemokratische Partei Deutschlands;234264;232797;234264;232797;200725;190547;200725;190547;1616;1702;1091;1662;199109;188845;199634;188885;43336;64271;34040;50965;40930;26050;38263;26287;31619;35452;29115;35865;7959;16872;8599;20210;37823;17302;36947;18658;;;;;27524;14701;29408;19110;3905;3439;1852;3115;;;;4562;;3019;;2977;;3367;1605;2795;;;;469;;;;705;3405;1004;2403;1022;;804;;575;;;;;;;;;;458;;368;;;;;;;;;;;123;79;;;;;;;;;;;;;;;;;1372;;621;;;;16658;;;;;;;;;;1236;2106;;1123;
062;Dahme-Spreewald – Teltow-Fläming III;12;Alternative für Deutschland;241717;239844;241717;239844;200776;184949;200776;184949;2006;2784;1431;2573;198770;182165;199345;182376;35053;47696;29306;51505;47404;36318;39080;29844;10248;13197;12433;15707;4967;14395;6970;18103;66811;31811;63990;32493;;;;;22423;16617;20401;14218;5510;7725;2852;5627;;6492;;5874;;2816;;2645;3126;;1902;1987;;;;594;;1266;;879;2150;;1414;494;;434;;317;;;;;;;;;;;;242;;;;;;;;;;;135;95;;;;;;;;;;;;;;;;;;;467;;;;20395;;;;;;;;;;1078;3398;;1752;
063;Frankfurt (Oder) – Oder-Spree;12;Alternative für Deutschland;187968;191387;187968;191387;149770;142414;149770;142414;1575;1973;1092;1824;148195;140441;148678;140590;30829;39350;20169;41414;27856;22876;24737;19890;4463;8865;7066;9992;3528;9975;4677;12439;56620;30182;52666;28338;;;;;16785;15690;15771;13436;5726;5115;2155;3749;;;;3608;;2915;;2420;;3343;1321;1989;;;;306;;;;495;;;827;373;;751;;347;;;;;;;;;;;;158;;;;;;;;;;304;151;156;;;;;;;;;;;;;;;;;;;403;;;;18735;;;;;;;;;;2388;1075;;1480;
064;Cottbus – Spree-Neiße;12;Alternative für Deutschland;165942;171267;165942;171267;132378;128323;132378;128323;1470;1960;976;1768;130908;126363;131402;126555;30548;34882;18348;36098;22712;21072;20932;17502;;4662;5275;6939;3559;11400;4249;13603;54981;32530;51313;30729;;;;;12819;11156;12144;9670;2882;3375;1614;2818;;;;2516;;2779;;2212;2257;2943;1235;1593;;;;276;;;;392;1150;;742;347;;;;123;;;;;;;;;;;;128;;;;;;;;;;;92;69;;;;;;;;;;;;;;;;;;;408;;;;15050;;;;;;;;;;;1564;;1540;
065;Elbe-Elster – Oberspreewald-Lausitz;12;Alternative für Deutschland;169189;175310;169189;175310;134486;129863;134486;129863;1413;2232;1003;2045;133073;127631;133483;127818;22087;32998;16688;36557;24330;20892;22039;19231;2703;4436;3732;5369;3821;11275;4112;11904;57194;31468;54660;31767;;;;;15939;11430;11645;9269;6999;5212;2754;3913;;243;;2763;;1819;;1547;;2245;1045;1476;;;;176;;53;;477;;;738;244;;8;;141;;;;;;;;;;;;93;;;;;;;;;;;85;60;;;;;;;;;;;;;;;;;;;393;;;;15592;;;;;;;;;;;5552;;2831;
12;Brandenburg;99;;2034083;2048844;2034083;2048844;1658616;1549464;1658616;1549464;16602;21706;11422;19821;1642014;1527758;1647194;1529643;336988;437753;243973;450573;332278;283668;297987;233891;85989;120005;108591;137472;44454;121094;53465;142426;565726;279978;535279;277412;;;;;189179;142628;176223;129762;53005;47029;23966;40509;;6735;;39823;;26766;;23062;15439;27429;14705;19199;;;;3353;;5848;;6340;10688;1004;11369;4293;;4499;;2835;;;;;;;;;;458;;1892;;;;;;;;;;304;1118;842;;;;;;;;;;;;;;;;;3566;;4331;;;;176187;;;;;;;;;;4702;22560;;15959;
;
066;Altmark – Jerichower Land;15;Alternative für Deutschland;227996;234872;227996;234872;178498;159806;178498;159806;2297;1943;1334;1705;176201;157863;177164;158101;28275;43047;20659;43232;38817;36724;34163;33916;4852;6803;5917;8476;6046;12748;5369;13876;69054;30498;66177;30225;;;;;22147;15676;18648;14807;7010;6728;2844;4151;;791;;1824;;2904;;2764;;;1293;1133;;;;;;;;456;;;909;233;;;;80;;;;;;;;;;;;146;;;;;;;;;;;142;112;;;;;;;;;;;;;;;;;;;459;;;;20584;;;;;;;;;;;1944;;2670;
067;Börde – Salzlandkreis;15;Alternative für Deutschland;217023;223295;217023;223295;170484;149905;170484;149905;2283;1935;1519;1694;168201;147970;168965;148211;22894;34994;17576;37489;37608;36089;32353;32560;3746;5625;4463;6516;4606;12252;4941;14017;72650;32738;70158;32075;;;;;17753;16675;15344;13615;4739;3971;2200;2714;;1178;;1938;;2176;;2020;;;1146;1038;;;;;;;;429;;;809;189;;;;84;;;;;;;;;;;;152;;;;;;;;;;;118;108;;;;;;;;;;;;;;;;;2364;;795;;;;19062;;;;;;;;;;1841;2272;;3267;
