(c) Die Bundeswahlleiterin, Wiesbaden 2025;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);
;
Bundestagswahl 2025;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
009;Ostholstein – Stormarn-Nord;01;Christlich Demokratische Union Deutschlands;181111;183138;181111;183138;150788;143092;150788;143092;1118;1301;797;1126;149670;141791;149991;141966;38071;47714;29510;42520;52022;42991;46721;35564;15636;19025;19095;22314;5422;13289;7656;17986;25929;9647;26494;10073;;;;;8232;4122;8935;4036;2636;2582;1356;1603;;;;1729;;2032;;1691;;;1062;1104;;;;182;;;;;1722;;1091;289;;;;102;;;3166;2241;;;;;;;;88;;;;;;;;;;;42;13;;;;;;;;;;;;;;;;;;;232;;;;4631;;;;;;;;;;;389;;431;
010;Herzogtum Lauenburg – Stormarn-Süd;01;Christlich Demokratische Union Deutschlands;245477;246277;245477;246277;208075;196903;208075;196903;1443;1576;1072;1316;206632;195327;207003;195587;48273;60593;39860;56422;67641;51872;61515;45364;29012;33949;28853;32475;7445;20550;11091;27725;35419;14053;35560;14682;;;;;12160;5168;14253;6325;3784;3517;1770;2204;;;;2283;;2544;;2237;;2956;1364;1791;;;;829;;;;;2898;;1974;447;;;;217;;;2732;1746;;;;;;;;160;;;;;;;;;;;57;29;;;;;;;;;;;;;;;;;;;309;;;;7665;;;;;;;;;;;125;;651;
011;Lübeck;01;Sozialdemokratische Partei Deutschlands;178245;179394;178245;179394;142999;131455;142999;131455;1247;1580;829;1218;141752;129875;142170;130237;39809;44315;30026;39704;33695;28266;32037;23628;27477;27809;25444;29229;4028;9700;5547;13626;21972;8538;22254;8827;;;;;10175;4020;14921;5785;1960;1788;1006;1296;;;;1495;;1594;;1531;;2193;1147;1329;;;;663;;;;;2350;765;1529;550;;;;134;;;2664;1666;;;;;;;;196;;;;;;;;;286;189;90;71;;;;;;;;;;;;;;;;;;;198;;;;5307;;;;;;;;;;;698;;507;
01;Schleswig-Holstein;99;;2262785;2272717;2262785;2272717;1890250;1776145;1890250;1776145;13909;16132;10168;13391;1876341;1760013;1880082;1762754;424503;530301;352671;494055;573560;465975;518367;388399;279313;315633;279932;322763;67554;167191;88156;220039;302274;113641;306191;119566;;;;;115128;55523;146398;64238;25147;26518;13651;17043;;;;20653;;27124;;23407;2020;18090;13738;17870;;;;5305;;;;;23284;1431;16512;4157;;;;1539;58773;35027;76126;55578;;;;;;;;1763;;;;;;;;;286;265;581;322;;;;;;;;;;;;;;;;;3227;;3031;;;;64728;;;;;;;;;;1272;3294;;6057;
;
012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;Alternative für Deutschland;212861;214853;212861;214853;171875;156565;171875;156565;2126;2957;1455;2402;169749;153608;170420;154163;34101;45189;24693;49271;35453;31754;32209;26383;5531;12061;9494;12419;4870;11769;5613;13242;60863;25393;54975;24185;;;;;21569;17906;19558;16604;4753;3552;1977;2476;;;2310;2645;;2417;;2207;;1910;;1252;;;;399;;1414;;1023;;;1050;381;;;;151;;;;;;;;;;;;175;;;;;;;;;664;243;183;117;;;;;;;;;;;;;;;;;1945;;706;;;;17652;;;;;;;;;;;0;;1233;
013;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;Alternative für Deutschland;202444;205042;202444;205042;162889;146362;162889;146362;1663;2316;1166;2258;161226;144046;161723;144104;34654;50736;23009;46846;32839;26208;29812;24621;5747;8163;7744;10147;4422;10322;4921;11638;59416;24760;56236;24673;;;;;18094;14949;17339;14979;6054;3531;1875;2384;;;2238;2562;;2796;;2610;;;;1019;;;;332;;;;624;;;997;254;;;;195;;;;;;;;;;;;157;;;;;;;;;;;99;65;;;;;;;;;;;;;;;;;;;461;;;;16992;;;;;;;;;;;2581;;998;
014;Rostock – Landkreis Rostock II;13;–;221158;222705;221158;222705;179099;165329;179099;165329;1534;2319;1094;2352;177565;163010;178005;162977;30031;43932;25383;47280;34403;27672;29907;23103;9397;16556;15933;20941;5037;12242;6057;14852;47598;19882;45612;20658;;;;;45521;29715;30739;21491;3431;2131;1505;1871;;4476;2783;3935;;4744;;3488;;;;2036;;;;408;;1304;;854;;;1702;501;;;;274;;;;;;;;;;;;290;;;;;;;;;620;356;238;152;;;;;;;;;;;;;;;;;1527;;548;;;;17598;;;;;;;;;;;0;;843;
015;Vorpommern-Rügen – Vorpommern-Greifswald I;13;Alternative für Deutschland;237079;241066;237079;241066;186436;168922;186436;168922;1784;2769;1356;3143;184652;166153;185080;165779;26883;40429;19150;41583;39235;33903;32675;30910;9064;12199;11466;14654;4814;11005;6204;13776;68842;33025;65647;31303;;;;;24635;22767;23214;18857;4979;1835;2130;1975;6200;5083;3844;5169;;2805;;2904;;1782;;1576;;;;392;;1094;;797;;;1372;354;;;;201;;;;;;;;;;;;295;;;;;;;;;;226;134;123;;;;;;;;;;;;;;;;;;;472;;;;18772;;;;;;;;;;;0;;910;
016;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13;Alternative für Deutschland;215716;221421;215716;221421;168238;154240;168238;154240;2154;3572;1400;3202;166084;150668;166838;151038;22871;37392;16306;40339;33050;31182;28878;28684;3787;6112;4721;6616;5881;11165;5252;11438;75083;36597;71490;35102;;;;;18008;16202;15824;15370;4772;2468;1679;2183;;4765;2524;3803;;3257;;2822;;;;1033;;;;348;;;;518;;;645;204;;;;123;;;;;;;;;;;;220;;;;;;;;;;;97;89;;;;;;;;;;;;;;;;;;;420;;;;19002;;;;;;;;;;2632;1528;;2146;
017;Mecklenburgische Seenplatte II – Landkreis Rostock III;13;Alternative für Deutschland;204474;209348;204474;209348;160613;143622;160613;143622;2186;3021;1454;2824;158427;140601;159159;140798;31002;43730;18162;42049;30808;29950;28482;26402;3370;7573;5363;7179;4314;9825;4632;10609;65035;30320;63396;29421;;;;;16952;14494;16377;14434;3582;4264;1630;2455;;;1973;2468;;;;2305;;;;984;;;;267;;;;443;;;584;210;;;;245;;;;;;;;;;;;140;;;;;;;;;;445;96;163;;;;;;;;;;;;;;;;;3364;;724;;;;17740;;;;;;;;;;;0;;1024;
13;Mecklenburg-Vorpommern;99;;1293732;1314435;1293732;1314435;1029150;935040;1029150;935040;11447;16954;7925;16181;1017703;918086;1021225;918859;179542;261408;126703;267368;205788;180669;181963;160103;36896;62664;54721;71956;29338;66328;32679;75555;376837;169977;357356;165342;;;;;144779;116033;123051;101735;27571;17781;10796;13344;6200;14324;15672;20582;;16019;;16336;;3692;;7900;;;;2146;;3812;;4259;;;6350;1904;;;;1189;;;;;;;;;;;;1277;;;;;;;;;1284;1270;847;709;;;;;;;;;;;;;;;;;6836;;3331;;;;107756;;;;;;;;;;2632;4109;;7154;
;
